name,type,brand,weight,size,price
Bose Soundbar 700,Soundbar,Bose,4.76kg,978 x 57 x 108 mm,799.95 USD
Sony SRS-XB43,Portable Speaker,Sony,3100g,322 x 105 x 123 mm,249.99 USD
UE Hyperboom,Portable Speaker,Ultimate Ears,5700g,364 x 190 x 190 mm,399.99 USD
Sonos Roam,Portable Speaker,Sonos,430g,168 x 62 x 60 mm,169.00 USD
Apple HomePod (2018),Smart Speaker,Apple,2.5kg,172 x 142 mm,299.00 USD
LG SN9YG,Soundbar,LG,5.3kg,1443 x 63 x 146 mm,999.99 USD
Samsung HW-Q800T,Soundbar,Samsung,8.3kg,980 x 69.5 x 115 mm,799.99 USD
Harman Kardon Go + Play,Portable Speaker,Harman Kardon,3010g,211 x 466 x 164 mm,449.95 USD
JBL Boombox 2,Portable Speaker,JBL,5.9kg,254.5 x 495 x 195.5 mm,499.95 USD
Bose Home Speaker 300,Smart Speaker,Bose,900g,164 x 109 x 105 mm,259.95 USD
Sony SRS-XB33,Portable Speaker,Sony,1100g,246 x 97 x 106 mm,149.99 USD
UE Blast,Smart Speaker,Ultimate Ears,800g,188 x 68 x 68 mm,179.99 USD
Sonos Beam,Soundbar,Sonos,2.8kg,651 x 100 x 68.5 mm,399.00 USD
Apple HomePod (2023),Smart Speaker,Apple,2.5kg,210 x 143 mm,299.00 USD
LG SN8YG,Soundbar,LG,4.9kg,1060 x 57 x 119 mm,799.99 USD
Samsung HW-Q950T,Soundbar,Samsung,20.6kg,1232 x 69.5 x 138 mm,1799.99 USD
Harman Kardon Allure,Smart Speaker,Harman Kardon,2.2kg,160 x 160 x 174 mm,249.95 USD
JBL Pulse 4,Portable Speaker,JBL,1260g,96 x 96 x 207 mm,199.95 USD
Bose SoundTouch 30,Wireless Speaker,Bose,11.7kg,246 x 434 x 182 mm,499.95 USD
Sony SRS-XB32,Portable Speaker,Sony,900g,238 x 84 x 83 mm,149.99 USD
UE Megablast,Smart Speaker,Ultimate Ears,1064g,237 x 88 x 88 mm,299.99 USD
Sonos Playbase,Soundbar,Sonos,8.6kg,720 x 380 x 58 mm,699.00 USD
Apple HomePod (2021),Smart Speaker,Apple,2.5kg,172 x 142 mm,299.00 USD
LG SN7CY,Soundbar,LG,4.2kg,890 x 57 x 144 mm,499.99 USD
Samsung HW-Q60R,Soundbar,Samsung,3.6kg,1060 x 59 x 100 mm,499.99 USD
Harman Kardon Aura Studio 2,Bluetooth Speaker,Harman Kardon,2858g,232 x 232 x 264 mm,349.95 USD
JBL Flip 4,Portable Speaker,JBL,515g,68 x 175 x 70 mm,79.95 USD
Bose SoundLink Revolve,Portable Speaker,Bose,660g,152 x 82 x 82 mm,199.95 USD
Sony SRS-XB22,Portable Speaker,Sony,540g,200 x 75 x 68 mm,99.99 USD
UE Roll 2,Portable Speaker,Ultimate Ears,330g,135 x 135 x 40 mm,99.99 USD
Sonos Playbar,Soundbar,Sonos,5.4kg,900 x 85 x 140 mm,699.00 USD
Apple HomePod (2020),Smart Speaker,Apple,2.5kg,172 x 142 mm,299.00 USD
LG SN8YG,Soundbar,LG,4.9kg,1060 x 57 x 119 mm,799.99 USD
Samsung HW-Q950T,Soundbar,Samsung,20.6kg,1232 x 69.5 x 138 mm,1799.99 USD
Harman Kardon Allure,Smart Speaker,Harman Kardon,2.2kg,160 x 160 x 174 mm,249.95 USD
JBL Pulse 4,Portable Speaker,JBL,1260g,96 x 96 x 207 mm,199.95 USD
Bose SoundTouch 30,Wireless Speaker,Bose,11.7kg,246 x 434 x 182 mm,499.95 USD
Sony SRS-XB32,Portable Speaker,Sony,900g,238 x 84 x 83 mm,149.99 USD
UE Megablast,Smart Speaker,Ultimate Ears,1064g,237 x 88 x 88 mm,299.99 USD
Sonos Playbase,Soundbar,Sonos,8.6kg,720 x 380 x 58 mm,699.00 USD
Apple HomePod (2021),Smart Speaker,Apple,2.5kg,172 x 142 mm,299.00 USD
LG SN7CY,Soundbar,LG,4.2kg,890 x 57 x 144 mm,499.99 USD
Samsung HW-Q60R,Soundbar,Samsung,3.6kg,1060 x 59 x 100 mm,499.99 USD
Harman Kardon Aura Studio 2,Bluetooth Speaker,Harman Kardon,2858g,232 x 232 x 264 mm,349.95 USD
JBL Flip 4,Portable Speaker,JBL,515g,68 x 175 x 70 mm,79.95 USD
Bose SoundLink Revolve,Portable Speaker,Bose,660g,152 x 82 x 82 mm,199.95 USD
Sony SRS-XB22,Portable Speaker,Sony,540g,200 x 75 x 68 mm,99.99 USD
UE Roll 2,Portable Speaker,Ultimate Ears,330g,135 x 135 x 40 mm,99.99 USD
Sonos Playbar,Soundbar,Sonos,5.4kg,900 x 85 x 140 mm,699.00 USD
Apple HomePod (2020),Smart Speaker,Apple,2.5kg,172 x 142 mm,299.00 USD
LG SN8YG,Soundbar,LG,4.9kg,1060 x 57 x 119 mm,799.99 USD
Samsung HW-Q950T,Soundbar,Samsung,20.6kg,1232 x 69.5 x 138 mm,1799.99 USD
